Source,Target,Weight
440,439,0.189
440,429,0.223
440,428,0.23
440,423,0.44
440,414,0.226
440,413,0.197
440,411,0.193
440,410,0.206
440,409,0.195
440,406,0.213
440,405,0.292
440,402,0.213
440,401,0.156
440,400,0.221
440,399,0.228
440,398,0.223
440,358,0.192
440,357,0.146
440,346,0.182
440,342,0.188
440,341,0.189
440,336,0.64
440,334,0.537
440,324,0.178
440,322,0.238
440,321,0.164
440,309,0.201
440,307,0.554
440,304,0.163
440,303,0.225
440,301,0.161
440,300,0.104
440,290,0.203
440,286,0.168
440,271,0.153
440,270,0.168
440,236,0.19
440,235,0.56
440,234,0.216
440,231,0.125
440,230,0.132
440,221,0.138
440,220,0.144
440,218,0.143
440,212,0.148
440,211,0.191
440,210,0.137
440,209,0.135
440,143,0.184
440,128,0.437
440,76,0.188
440,74,0.168
440,65,0.17
439,429,0.234
439,428,0.242
439,423,0.146
439,414,0.254
439,413,0.22
439,411,0.216
439,410,0.231
439,409,0.218
439,406,0.239
439,405,0.31
439,402,0.239
439,401,0.172
439,400,0.249
439,399,0.256
439,398,0.251
439,358,0.2
439,357,0.161
439,346,0.202
439,342,0.196
439,341,0.21
439,336,0.216
439,334,0.18
439,324,0.198
439,322,0.268
439,321,0.182
439,309,0.225
439,307,0.186
439,304,0.169
439,303,0.253
439,301,0.644
439,300,0.113
439,290,0.227
439,286,0.187
439,271,0.169
439,270,0.186
439,236,0.212
439,235,0.188
439,234,0.243
439,231,0.494
439,230,0.145
439,221,0.153
439,220,0.159
439,218,0.158
439,212,0.163
439,211,0.213
439,210,0.151
439,209,0.149
439,143,0.205
439,128,0.145
439,76,0.209
439,74,0.186
439,65,0.188
438,426,0.264
438,425,0.289
438,415,0.312
438,395,0.278
438,394,0.255
438,355,0.31
438,353,0.23
438,316,0.526
438,307,0.271
438,295,0.411
438,294,0.246
438,293,0.307
438,289,0.279
438,259,0.243
438,196,0.249
438,195,0.252
438,141,0.26
438,140,0.261
438,139,0.254
438,138,0.456
438,136,0.296
438,135,0.281
438,134,0.254
438,133,0.329
438,96,0.268
438,95,0.291
438,72,0.228
438,71,0.281
438,70,0.296
437,433,0.091
437,432,0.083
437,424,0.127
437,417,0.087
437,386,0.109
437,380,0.146
437,379,0.083
437,377,0.095
437,376,0.176
437,373,0.139
437,369,0.135
437,368,0.157
437,367,0.116
437,366,0.106
437,363,0.152
437,359,0.111
437,352,0.13
437,351,0.082
437,340,0.09
437,339,0.146
437,335,0.086
437,332,0.087
437,331,0.18
437,330,0.108
437,328,0.079
437,319,0.125
437,318,0.22
437,314,0.185
437,310,0.089
437,298,0.106
437,296,0.077
437,293,0.101
437,282,0.084
437,277,0.108
437,276,0.152
437,272,0.108
437,268,0.147
437,267,0.085
437,266,0.077
437,265,0.095
437,264,0.152
437,260,0.085
437,258,0.084
437,254,0.108
437,252,0.117
437,251,0.116
437,250,0.131
437,249,0.131
437,205,0.103
437,203,0.104
437,200,0.098
437,198,0.1
437,179,0.12
437,174,0.087
437,173,0.184
437,172,0.11
437,170,0.08
437,169,0.106
437,168,0.125
437,167,0.11
437,165,0.087
437,164,0.178
437,163,0.086
437,162,0.088
437,161,0.176
437,160,0.087
437,159,0.089
437,158,0.091
437,157,0.151
437,154,0.138
437,152,0.112
437,151,0.128
437,149,0.085
437,117,0.121
437,112,0.116
437,110,0.11
437,107,0.088
437,106,0.09
437,105,0.1
437,104,0.147
437,103,0.18
437,102,0.087
437,100,0.197
437,99,0.189
437,97,0.172
437,94,0.098
437,93,0.139
437,86,0.105
437,81,0.104
437,73,0.114
437,71,0.092
437,70,0.097
437,69,0.085
437,68,0.11
436,424,0.098
436,384,0.164
436,380,0.094
436,373,0.104
436,372,0.143
436,368,0.137
436,366,0.141
436,364,0.178
436,363,0.168
436,362,0.093
436,361,0.271
436,360,0.278
436,352,0.107
436,347,0.126
436,345,0.211
436,319,0.091
436,318,0.104
436,317,0.181
436,308,0.083
436,302,0.087
436,278,0.105
436,277,0.158
436,276,0.114
436,265,0.083
436,264,0.116
436,250,0.112
436,232,0.127
436,168,0.092
436,157,0.125
436,156,0.174
436,155,0.103
436,154,0.083
436,122,0.253
436,121,0.081
436,114,0.164
436,109,0.094
436,105,0.101
436,93,0.154
436,89,0.087
436,85,0.117
436,77,0.102
433,432,0.427
433,424,0.118
433,417,0.273
433,408,0.091
433,386,0.155
433,384,0.11
433,383,0.093
433,380,0.086
433,379,0.098
433,377,0.123
433,376,0.153
433,368,0.137
433,367,0.099
433,366,0.418
433,365,0.082
433,364,0.245
433,363,0.111
433,362,0.086
433,359,0.159
433,356,0.142
433,352,0.123
433,351,0.415
433,347,0.214
433,345,0.097
433,340,0.173
433,339,0.137
433,335,0.161
433,332,0.107
433,331,0.146
433,330,0.153
433,328,0.137
433,319,0.184
433,318,0.122
433,317,0.152
433,314,0.086
433,310,0.169
433,308,0.081
433,296,0.376
433,293,0.123
433,285,0.102
433,278,0.091
433,277,0.258
433,276,0.095
433,272,0.158
433,268,0.321
433,267,0.448
433,266,0.375
433,265,0.55
433,264,0.095
433,263,0.271
433,262,0.273
433,261,0.358
433,260,0.446
433,258,0.259
433,252,0.16
433,251,0.159
433,250,0.204
433,249,0.079
433,247,0.13
433,232,0.216
433,229,0.188
433,206,0.118
433,179,0.468
433,174,0.162
433,173,0.086
433,172,0.089
433,169,0.083
433,168,0.114
433,167,0.159
433,165,0.274
433,164,0.157
433,163,0.159
433,162,0.167
433,161,0.154
433,160,0.164
433,159,0.17
433,158,0.176
433,157,0.214
433,154,0.088
433,152,0.148
433,149,0.447
433,121,0.08
433,120,0.088
433,114,0.11
433,109,0.093
433,107,0.108
433,106,0.175
433,105,0.361
433,104,0.321
433,103,0.455
433,102,0.467
433,100,0.357
433,99,0.332
433,97,0.178
433,94,0.129
433,93,0.144
433,89,0.083
433,86,0.145
433,85,0.096
433,82,0.077
433,79,0.16
433,78,0.159
433,77,0.097
433,73,0.426
433,71,0.106
433,70,0.116
433,69,0.445
433,68,0.143
433,67,0.336
432,424,0.097
432,417,0.235
432,408,0.083
432,386,0.134
432,384,0.087
432,383,0.085
432,379,0.089
432,377,0.11
432,376,0.133
432,368,0.11
432,367,0.084
432,366,0.334
432,364,0.193
432,363,0.087
432,359,0.137
432,356,0.122
432,352,0.101
432,351,0.361
432,347,0.173
432,340,0.147
432,339,0.124
432,335,0.138
432,332,0.097
432,331,0.127
432,330,0.132
432,328,0.12
432,319,0.153
432,318,0.1
432,317,0.119
432,310,0.144
432,296,0.331
432,293,0.108
432,285,0.093
432,277,0.205
432,272,0.141
432,268,0.288
432,267,0.386
432,266,0.331
432,265,0.46
432,264,0.077
432,263,0.247
432,262,0.248
432,261,0.622
432,260,0.385
432,258,0.464
432,252,0.136
432,251,0.135
432,250,0.166
432,247,0.115
432,232,0.174
432,229,0.172
432,206,0.105
432,179,0.394
432,174,0.139
432,168,0.095
432,167,0.137
432,165,0.235
432,164,0.135
432,163,0.137
432,162,0.143
432,161,0.133
432,160,0.141
432,159,0.145
432,158,0.149
432,157,0.173
432,152,0.127
432,149,0.385
432,120,0.081
432,114,0.087
432,107,0.097
432,106,0.149
432,105,0.297
432,104,0.288
432,103,0.391
432,102,0.4
432,100,0.304
432,99,0.286
432,97,0.157
432,94,0.114
432,93,0.114
432,86,0.127
432,85,0.078
432,79,0.143
432,78,0.135
432,77,0.08
432,73,0.364
432,71,0.095
432,70,0.103
432,69,0.384
432,68,0.123
432,67,0.588
431,420,0.169
431,419,0.273
431,404,0.225
431,392,0.237
431,390,0.276
431,374,0.179
431,343,0.184
431,326,0.189
431,315,0.208
431,311,0.284
431,256,0.268
431,246,0.519
431,242,0.258
431,241,0.402
431,240,0.487
431,239,0.286
431,127,0.188
431,126,0.629
431,125,0.587
431,124,0.306
431,123,0.352
431,108,0.2
431,98,0.218
431,63,0.677
429,428,0.299
429,423,0.166
429,414,0.292
429,413,0.245
429,411,0.24
429,410,0.26
429,409,0.242
429,406,0.271
429,405,0.412
429,402,0.27
429,401,0.184
429,400,0.284
429,399,0.295
429,398,0.288
429,358,0.237
429,357,0.17
429,346,0.222
429,342,0.232
429,341,0.233
429,336,0.26
429,334,0.21
429,324,0.217
429,322,0.312
429,321,0.197
429,309,0.252
429,307,0.218
429,304,0.195
429,303,0.291
429,301,0.193
429,300,0.116
429,290,0.254
429,286,0.203
429,271,0.18
429,270,0.202
429,236,0.234
429,235,0.22
429,234,0.276
429,231,0.142
429,230,0.152
429,221,0.161
429,220,0.168
429,218,0.167
429,212,0.173
429,211,0.235
429,210,0.158
429,209,0.156
429,143,0.226
429,128,0.164
429,76,0.231
429,74,0.202
429,65,0.204
428,423,0.17
428,414,0.305
428,413,0.254
428,411,0.248
428,410,0.27
428,409,0.251
428,406,0.282
428,405,0.438
428,402,0.282
428,401,0.189
428,400,0.297
428,399,0.308
428,398,0.3
428,358,0.246
428,357,0.175
428,346,0.229
428,342,0.24
428,341,0.241
428,336,0.271
428,334,0.216
428,324,0.224
428,322,0.327
428,321,0.202
428,309,0.262
428,307,0.225
428,304,0.201
428,303,0.304
428,301,0.198
428,300,0.118
428,290,0.264
428,286,0.209
428,271,0.185
428,270,0.208
428,236,0.243
428,235,0.228
428,234,0.288
428,231,0.145
428,230,0.156
428,221,0.165
428,220,0.173
428,218,0.171
428,212,0.178
428,211,0.244
428,210,0.162
428,209,0.16
428,143,0.234
428,128,0.168
428,76,0.239
428,74,0.208
428,65,0.211
426,425,0.404
426,415,0.451
426,395,0.382
426,394,0.341
426,355,0.446
426,353,0.297
426,316,0.431
426,307,0.369
426,295,0.388
426,294,0.325
426,293,0.316
426,289,0.384
426,259,0.319
426,196,0.33
426,195,0.335
426,141,0.35
426,140,0.352
426,139,0.339
426,138,0.333
426,136,0.418
426,135,0.389
426,134,0.339
426,133,0.486
426,96,0.364
426,95,0.407
426,72,0.294
426,71,0.281
426,70,0.301
425,415,0.527
425,395,0.435
425,394,0.382
425,355,0.52
425,353,0.328
425,316,0.5
425,307,0.419
425,295,0.442
425,294,0.363
425,293,0.356
425,289,0.438
425,259,0.355
425,196,0.369
425,195,0.375
425,141,0.394
425,140,0.396
425,139,0.38
425,138,0.373
425,136,0.482
425,135,0.445
425,134,0.38
425,133,0.576
425,96,0.412
425,95,0.468
425,72,0.325
425,71,0.312
425,70,0.337
424,417,0.106
424,391,0.079
424,389,0.322
424,386,0.362
424,384,0.143
424,383,0.205
424,382,0.351
424,381,0.414
424,380,0.509
424,379,0.217
424,377,0.28
424,376,0.359
424,373,0.543
424,371,0.078
424,369,0.088
424,368,0.4
424,367,0.267
424,366,0.178
424,365,0.097
424,364,0.148
424,363,0.144
424,362,0.105
424,361,0.095
424,360,0.096
424,359,0.238
424,356,0.082
424,354,0.415
424,352,0.35
424,351,0.094
424,347,0.101
424,345,0.13
424,340,0.412
424,339,0.202
424,335,0.292
424,332,0.239
424,331,0.262
424,330,0.275
424,328,0.088
424,327,0.373
424,319,0.436
424,318,0.474
424,317,0.2
424,314,0.359
424,313,0.286
424,310,0.31
424,308,0.473
424,298,0.259
424,297,0.259
424,296,0.084
424,293,0.271
424,292,0.078
424,285,0.227
424,284,0.227
424,282,0.132
424,281,0.134
424,278,0.112
424,277,0.188
424,276,0.441
424,275,0.392
424,274,0.156
424,273,0.266
424,269,0.31
424,267,0.103
424,266,0.084
424,265,0.131
424,264,0.444
424,261,0.08
424,260,0.102
424,258,0.1
424,257,0.091
424,252,0.368
424,251,0.365
424,250,0.494
424,249,0.094
424,248,0.083
424,247,0.229
424,245,0.088
424,232,0.102
424,203,0.194
424,200,0.226
424,199,0.241
424,198,0.236
424,197,0.248
424,179,0.392
424,175,0.081
424,174,0.106
424,173,0.356
424,172,0.37
424,171,0.191
424,170,0.205
424,169,0.342
424,168,0.502
424,167,0.374
424,166,0.287
424,165,0.106
424,164,0.369
424,163,0.373
424,162,0.396
424,161,0.361
424,160,0.388
424,159,0.403
424,158,0.421
424,157,0.101
424,156,0.079
424,154,0.106
424,152,0.337
424,151,0.085
424,149,0.103
424,148,0.256
424,122,0.092
424,121,0.096
424,120,0.194
424,119,0.425
424,118,0.426
424,117,0.334
424,115,0.362
424,114,0.143
424,113,0.085
424,112,0.241
424,111,0.309
424,110,0.278
424,109,0.114
424,107,0.153
424,106,0.116
424,105,0.148
424,103,0.105
424,102,0.108
424,100,0.411
424,99,0.24
424,97,0.27
424,94,0.295
424,93,0.516
424,92,0.296
424,91,0.274
424,89,0.1
424,88,0.399
424,87,0.289
424,86,0.338
424,85,0.58
424,83,0.401
424,82,0.406
424,78,0.094
424,77,0.12
424,73,0.351
424,71,0.231
424,70,0.253
424,69,0.102
424,68,0.322
423,414,0.167
423,413,0.151
423,411,0.149
423,410,0.156
423,409,0.15
423,406,0.16
423,405,0.201
423,402,0.16
423,401,0.125
423,400,0.165
423,399,0.168
423,398,0.166
423,358,0.148
423,357,0.119
423,346,0.142
423,342,0.146
423,341,0.146
423,336,0.485
423,334,0.423
423,324,0.14
423,322,0.174
423,321,0.131
423,309,0.153
423,307,0.434
423,304,0.13
423,303,0.167
423,301,0.129
423,300,0.089
423,290,0.154
423,286,0.134
423,271,0.123
423,270,0.133
423,236,0.147
423,235,0.437
423,234,0.162
423,231,0.104
423,230,0.11
423,221,0.114
423,220,0.118
423,218,0.117
423,212,0.12
423,211,0.147
423,210,0.113
423,209,0.112
423,143,0.143
423,128,0.679
423,76,0.145
423,74,0.133
423,65,0.134
422,421,0.312
422,418,0.242
422,388,0.373
422,350,0.151
422,349,0.175
422,337,0.373
422,329,0.282
422,322,0.284
422,320,0.379
422,312,0.472
422,300,0.142
422,299,0.241
422,286,0.216
422,238,0.585
422,233,0.406
422,228,0.303
422,226,0.187
422,225,0.173
422,224,0.179
422,223,0.324
422,222,0.34
422,217,0.415
422,216,0.441
422,215,0.484
422,210,0.471
422,209,0.466
422,202,0.492
422,201,0.246
422,194,0.344
422,193,0.184
422,192,0.191
422,191,0.305
422,190,0.195
422,189,0.196
422,188,0.247
422,187,0.326
422,186,0.371
422,185,0.188
422,184,0.251
422,183,0.202
422,182,0.268
422,181,0.201
422,178,0.348
422,177,0.339
422,143,0.232
422,132,0.415
422,131,0.356
422,130,0.238
422,129,0.29
422,66,0.423
422,65,0.217
421,418,0.452
421,388,0.321
421,350,0.212
421,349,0.264
421,337,0.384
421,329,0.619
421,322,0.628
421,320,0.394
421,312,0.603
421,300,0.195
421,299,0.45
421,286,0.368
421,238,0.396
421,233,0.222
421,228,0.273
421,226,0.292
421,225,0.259
421,224,0.273
421,223,0.257
421,222,0.277
421,217,0.384
421,216,0.427
421,215,0.51
421,210,0.277
421,209,0.273
421,202,0.297
421,201,0.467
421,194,0.334
421,193,0.284
421,192,0.302
421,191,0.277
421,190,0.313
421,189,0.316
421,188,0.469
421,187,0.307
421,186,0.379
421,185,0.294
421,184,0.484
421,183,0.33
421,182,0.553
421,181,0.327
421,178,0.341
421,177,0.276
421,143,0.42
421,132,0.466
421,131,0.354
421,130,0.44
421,129,0.654
421,66,0.397
421,65,0.372
420,419,0.2
420,404,0.169
420,392,0.175
420,390,0.525
420,374,0.375
420,343,0.144
420,326,0.147
420,315,0.436
420,311,0.206
420,256,0.192
420,246,0.152
420,242,0.187
420,241,0.154
420,240,0.161
420,239,0.202
420,127,0.146
420,126,0.17
420,125,0.206
420,124,0.212
420,123,0.235
420,108,0.41
420,98,0.169
420,63,0.18
419,404,0.272
419,392,0.29
419,390,0.353
419,374,0.205
419,343,0.213
419,326,0.22
419,315,0.258
419,311,0.385
419,256,0.34
419,246,0.232
419,242,0.323
419,241,0.237
419,240,0.253
419,239,0.37
419,127,0.218
419,126,0.277
419,125,0.384
419,124,0.406
419,123,0.5
419,108,0.235
419,98,0.274
419,63,0.303
418,388,0.247
418,350,0.177
418,349,0.212
418,337,0.283
418,329,0.393
418,322,0.397
418,320,0.288
418,312,0.386
418,300,0.165
418,299,0.317
418,286,0.274
418,238,0.289
418,233,0.184
418,228,0.218
418,226,0.23
418,225,0.209
418,224,0.218
418,223,0.208
418,222,0.22
418,217,0.283
418,216,0.306
418,215,0.346
418,210,0.22
418,209,0.218
418,202,0.233
418,201,0.325
418,194,0.255
418,193,0.224
418,192,0.236
418,191,0.22
418,190,0.242
418,189,0.244
418,188,0.327
418,187,0.239
418,186,0.28
418,185,0.231
418,184,0.334
418,183,0.252
418,182,0.365
418,181,0.251
418,178,0.259
418,177,0.22
418,143,0.302
418,132,0.325
418,131,0.266
418,130,0.312
418,129,0.407
418,66,0.29
418,65,0.276
417,408,0.087
417,386,0.143
417,383,0.089
417,379,0.093
417,377,0.116
417,376,0.142
417,368,0.121
417,367,0.09
417,366,0.368
417,364,0.214
417,359,0.147
417,356,0.131
417,352,0.11
417,351,0.228
417,347,0.19
417,345,0.084
417,340,0.158
417,339,0.242
417,335,0.148
417,332,0.101
417,331,0.136
417,330,0.141
417,328,0.127
417,319,0.166
417,318,0.109
417,317,0.133
417,314,0.08
417,310,0.155
417,296,0.208
417,293,0.311
417,285,0.097
417,277,0.226
417,272,0.102
417,268,0.18
417,267,0.245
417,266,0.208
417,265,0.296
417,263,0.153
417,262,0.154
417,261,0.199
417,260,0.244
417,258,0.35
417,252,0.146
417,251,0.145
417,250,0.182
417,247,0.121
417,232,0.191
417,229,0.146
417,206,0.111
417,179,0.153
417,174,0.149
417,173,0.079
417,172,0.082
417,168,0.103
417,167,0.146
417,165,0.251
417,164,0.145
417,163,0.146
417,162,0.153
417,161,0.142
417,160,0.15
417,159,0.155
417,158,0.16
417,157,0.19
417,154,0.079
417,152,0.37
417,149,0.244
417,120,0.084
417,109,0.084
417,107,0.102
417,106,0.16
