Id,label,value,log_size,uniqueness,dispensability,queryitem,pvalue
437,nitrile biosynthetic process,-1.854,1.924,0.912,0.135,5,0.00088
431,calcium ion transmembrane transport,-0.678,4.676,0.939,0.629,5,0.017
408,nitrile metabolic process,-1.456,1.94,0.95,0.086,5,0.0024
387,S-adenosylmethionine metabolic process,-1.854,4.355,0.924,0.638,5,0.00088
274,rhamnose biosynthetic process,-1.456,0,0.889,0.422,5,0.0024
273,rhamnose metabolic process,-1.456,3.591,0.855,0.677,5,0.0024
271,regulation of fatty acid metabolic process,-0.886,3.701,0.954,0.185,5,0.0098
259,peroxisome fission,-1.009,3.73,0.938,0.418,5,0.0073
224,nonphotochemical quenching,-1.456,2.884,0.919,0.642,5,0.0024
353,cortical microtubule organization,-0.553,3.232,0.94,0.38,6,0.022
325,protein refolding,-1.77,4.363,0.99,0.011,6,0.0011
294,cortical cytoskeleton organization,-0.31,3.851,0.935,0.54,6,0.043
293,maturation of SSU-rRNA,-1.77,4.318,0.825,0.549,6,0.0011
69,protein peptidyl-prolyl isomerization,-0.495,5.007,0.878,0.549,6,0.027
423,zinc ion homeostasis,-0.699,3.229,0.944,0.679,7,0.016
391,nucleotide phosphorylation,-1.409,5.149,0.908,0.078,7,0.0027
377,pyrimidine ribonucleoside metabolic process,-0.854,3.854,0.811,0.61,7,0.011
301,regulation of ARF protein signal transduction,-0.854,4.048,0.948,0.644,7,0.011
300,ARF protein signal transduction,-0.854,0.699,0.925,0.293,7,0.011
261,protein sumoylation,-1.102,3.974,0.896,0.622,7,0.0058
240,organic cation transport,-0.347,4.334,0.945,0.542,7,0.039
218,regulation of photosynthesis,-0.638,3.274,0.957,0.203,7,0.019
128,cellular zinc ion homeostasis,-1.013,3.178,0.936,0.434,7,0.0072
81,sucrose biosynthetic process,-1.013,3.322,0.884,0.7,7,0.0072
267,peptidyl-proline modification,-0.432,5.031,0.877,0.645,8,0.031
94,pyrimidine nucleoside metabolic process,-1.222,4.093,0.804,0.632,8,0.0043
258,protein processing,-1.347,4.916,0.89,0.375,9,0.0032
223,response to ozone,-0.569,2.556,0.904,0.65,9,0.022
211,regulation of catabolic process,-1.268,4.963,0.944,0.373,9,0.0039
185,response to symbiont,-0.569,3.271,0.927,0.608,9,0.022
91,isocitrate metabolic process,-3.377,3.752,0.854,0.662,9,0.00002
370,sulfur compound catabolic process,-2.432,4.204,0.878,0.619,10,0.00021
282,pentacyclic triterpenoid biosynthetic process,-0.824,1.041,0.894,0.585,10,0.012
281,pentacyclic triterpenoid metabolic process,-0.824,1.176,0.913,0.334,10,0.012
220,regulation of stomatal movement,-0.854,3.324,0.961,0.173,10,0.01
173,nucleotide-sugar biosynthetic process,-3.481,4.886,0.775,0.631,10,0.000016
376,nucleobase biosynthetic process,-3.284,4.913,0.774,0.635,11,0.000026
304,regulation of transporter activity,-1.824,4.105,0.954,0.573,11,0.00093
117,ubiquinone biosynthetic process,-2.292,4.626,0.828,0.334,11,0.00029
229,PSII associated light-harvesting complex II catabolic process,-2.699,1.914,0.892,0.334,12,0.00011
92,malate metabolic process,-4.444,4.118,0.854,0.667,12,0.0000016
270,regulation of lipid metabolic process,-1.699,4.274,0.951,0.336,13,0.0013
263,peptidyl-cysteine S-nitrosylation,-5.137,2.27,0.921,0.368,13,0.0000003
207,pollen germination,-1.456,2.982,0.955,0.499,13,0.0024
138,microtubule nucleation,-0.62,4.015,0.923,0.69,13,0.019
436,organic substance metabolic process,-5.041,7.127,0.939,0.278,14,0.00000038
383,para-aminobenzoic acid metabolic process,-2.699,2.09,0.862,0.183,14,0.00011
289,cellular component disassembly,-1.585,4.846,0.932,0.536,14,0.0017
243,carbon fixation,-5.041,4.071,0.963,0.035,14,0.00000038
219,stomatal movement,-0.553,2.765,0.992,0.008,14,0.022
191,cold acclimation,-3.42,2.963,0.912,0.674,14,0.000018
167,nucleobase metabolic process,-4.367,5.061,0.788,0.66,14,0.0000019
266,peptidyl-cysteine modification,-6.114,4.205,0.895,0.321,15,0.000000029
72,karyogamy,-1.886,3.18,0.943,0.376,15,0.00078
394,organelle fusion,-2.229,4.146,0.934,0.455,16,0.00035
367,cellular nitrogen compound catabolic process,-0.638,5.46,0.836,0.694,16,0.019
357,regulation of anion transport,-3.481,3.396,0.951,0.677,16,0.000016
290,regulation of cell morphogenesis,-0.444,5.269,0.942,0.656,17,0.03
286,second-messenger-mediated signaling,-1.268,4.297,0.881,0.479,17,0.0038
228,heat acclimation,-1.357,2.889,0.913,0.668,18,0.0031
221,regulation of proton transport,-1.678,3.053,0.952,0.642,18,0.0014
166,lipoate metabolic process,-4,3.962,0.801,0.591,18,0.0000047
111,glycerol ether metabolic process,-2.292,4.308,0.879,0.262,18,0.0003
107,polyamine catabolic process,-4.796,3.058,0.871,0.669,18,0.00000071
404,RNA transport,-2.959,4.665,0.935,0.652,20,0.000059
379,acetyl-CoA catabolic process,-7.921,2.461,0.796,0.46,20,3.9E-10
172,nucleotide-sugar metabolic process,-5.796,5.026,0.786,0.654,20,0.000000063
171,purine ribonucleoside triphosphate catabolic process,-1.444,1.602,0.836,0.535,20,0.0025
170,ribonucleoside triphosphate catabolic process,-1.444,2.1,0.826,0.5,20,0.0025
169,nucleotide catabolic process,-1.444,4.729,0.751,0.673,20,0.0025
134,nucleus organization,-1.824,4.117,0.935,0.452,20,0.00091
98,RNA localization,-2.959,4.688,0.945,0.656,20,0.000059
96,chromatin assembly or disassembly,-0.495,4.542,0.929,0.667,20,0.026
74,regulation of cell growth,-0.854,4.278,0.948,0.699,20,0.011
343,amino acid import,-3.678,3.466,0.958,0.464,23,0.0000096
295,metallo-sulfur cluster assembly,-2.032,4.896,0.924,0.696,23,0.00056
226,response to UV-B,-2,3.247,0.914,0.671,23,0.00063
233,response to cyclopentenone,-0.721,1.643,0.93,0.339,24,0.015
181,detection of biotic stimulus,-2.31,3.789,0.929,0.646,24,0.00028
140,peroxisome organization,-1.77,4.345,0.932,0.476,25,0.0011
119,water-soluble vitamin metabolic process,-2.959,5.5,0.849,0.49,25,0.000055
99,translational initiation,-4.495,5.095,0.826,0.364,25,0.0000014
420,plastid localization,-2.959,3.106,0.943,0.525,26,0.000053
313,unsaturated fatty acid metabolic process,-5.398,3.956,0.827,0.551,26,0.00000016
158,glutamine family amino acid metabolic process,-6.886,5.469,0.786,0.673,26,4.7E-09
146,aging,-1.26,4.062,0.941,0.613,26,0.0039
141,vacuole organization,-7.119,4.311,0.932,0.472,26,2.6E-09
110,unsaturated fatty acid biosynthetic process,-5.481,3.81,0.811,0.536,26,0.00000013
374,protein targeting to chloroplast,-5.886,3.251,0.929,0.565,27,0.000000051
340,amino acid activation,-6.076,5.4,0.794,0.573,27,0.000000032
100,tRNA aminoacylation for protein translation,-6.387,5.389,0.727,0.694,27,0.000000015
395,organelle fission,-2,4.821,0.926,0.533,28,0.00063
203,coumarin biosynthetic process,-8.387,3.318,0.876,0.68,28,1.3E-10
350,anthocyanin accumulation in tissues in response to UV light,-3.553,1.322,0.89,0.66,29,0.000013
349,pigment accumulation,-3.553,2.7,0.932,0.206,29,0.000013
348,pigmentation,-3.553,3.836,1,0,29,0.000013
230,regulation of hydrogen peroxide metabolic process,-0.745,2.713,0.96,0.189,29,0.014
418,detection of stimulus,-2.481,5.043,0.926,0.327,31,0.00018
190,gravitropism,-2.237,3.583,0.902,0.626,31,0.00034
183,tropism,-1.796,3.825,0.925,0.525,31,0.001
180,megagametogenesis,-1.167,2.935,0.936,0.52,31,0.0049
87,lactate metabolic process,-5.149,4.007,0.843,0.693,31,0.00000029
382,chorismate metabolic process,-5.585,4.825,0.835,0.466,32,0.0000001
338,hydrogen peroxide catabolic process,-9.456,4.482,0.888,0.535,34,1E-11
241,nitrate transport,-1.276,4.017,0.947,0.516,34,0.0038
222,response to nitrate,-1.481,2.968,0.908,0.687,34,0.0022
205,flavonoid biosynthetic process,-0.824,3.454,0.934,0.159,34,0.011
417,protein maturation,-9.155,5.137,0.889,0.149,35,2.1E-11
209,"systemic acquired resistance, salicylic acid mediated signaling pathway",-0.481,2.884,0.849,0.614,35,0.027
375,ATP metabolic process,-6.155,5.519,0.964,0.047,36,0.000000027
198,jasmonic acid biosynthetic process,-4.796,2.948,0.835,0.433,36,0.0000007
197,jasmonic acid metabolic process,-3.481,3.231,0.848,0.455,36,0.000016
143,small GTPase mediated signal transduction,-4.092,4.792,0.871,0.291,36,0.0000037
426,membrane fusion,-0.377,4.441,0.933,0.486,37,0.036
204,flavonoid metabolic process,-0.824,3.483,0.966,0.029,37,0.012
189,response to gravity,-3.699,3.622,0.915,0.629,37,0.0000093
108,protein targeting to vacuole,-6.432,3.975,0.921,0.688,37,0.000000014
63,transition metal ion transport,-1.174,5.112,0.945,0.685,38,0.0048
62,maltose metabolic process,-4.585,3.244,0.914,0.692,38,0.0000011
298,oxylipin biosynthetic process,-5.553,3.453,0.85,0.225,39,0.00000011
297,oxylipin metabolic process,-4.409,3.46,0.872,0.245,40,0.0000017
257,dephosphorylation,-1.523,5.599,0.898,0.464,40,0.002
200,salicylic acid biosynthetic process,-2.62,2.69,0.835,0.658,40,0.00013
135,mitochondrion organization,-7.032,4.922,0.925,0.547,40,3.2E-09
410,regulation of cellular component organization,-0.959,5.344,0.944,0.27,41,0.0084
324,regulation of growth,-0.469,4.615,0.953,0.224,41,0.028
242,organic acid transport,-0.721,5.349,0.944,0.646,41,0.014
225,response to far red light,-10.076,2.595,0.921,0.621,41,2.3E-12
210,jasmonic acid mediated signaling pathway,-0.854,2.966,0.864,0.621,41,0.01
358,positive regulation of molecular function,-7.678,4.996,0.946,0.678,42,7.1E-10
342,positive regulation of catalytic activity,-7.745,4.896,0.947,0.24,42,5.8E-10
411,regulation of phosphorus metabolic process,-2.62,5.034,0.942,0.379,43,0.00013
199,salicylic acid metabolic process,-2.921,3.08,0.851,0.592,43,0.000059
118,vitamin metabolic process,-6.409,5.505,0.854,0.393,43,0.000000014
67,protein deneddylation,-11.409,3.625,0.901,0.289,44,9.1E-14
430,glycosylation,-3.292,5.201,0.967,0.043,45,0.000025
409,regulation of transport,-5.959,5.072,0.937,0.251,45,0.000000041
234,posttranscriptional regulation of gene expression,-0.367,5.566,0.937,0.444,45,0.037
165,glycoprotein metabolic process,-3.42,5.144,0.861,0.473,46,0.000019
137,microtubule-based process,-1.097,5.242,0.988,0.013,46,0.0059
416,cell division,-0.387,5.532,0.987,0.015,47,0.034
152,RNA splicing,-1.509,5.172,0.852,0.47,47,0.0021
303,regulation of cellular protein metabolic process,-5.367,5.743,0.929,0.489,50,0.00000017
251,mRNA metabolic process,-0.523,5.443,0.849,0.6,50,0.025
80,disaccharide metabolic process,-5.721,4.516,0.895,0.654,52,0.000000073
432,protein modification by small protein removal,-8.319,4.824,0.879,0.588,53,1.5E-10
354,dicarboxylic acid metabolic process,-11.62,5.421,0.818,0.545,53,5.5E-14
299,cellular response to extracellular stimulus,-0.824,5.029,0.893,0.645,53,0.012
126,calcium ion transport,-13.959,4.735,0.949,0.595,53,2.3E-16
175,oligosaccharide metabolic process,-5.26,4.95,0.906,0.503,54,0.00000023
272,starch biosynthetic process,-8.638,3.661,0.861,0.651,55,7E-11
247,chlorophyll metabolic process,-8.77,4.12,0.891,0.12,55,5E-11
231,regulation of plant-type hypersensitive response,-1.456,2.279,0.957,0.494,55,0.0024
414,regulation of protein metabolic process,-6.26,5.759,0.933,0.305,56,0.000000021
196,chloroplast organization,-6.26,3.952,0.933,0.437,56,0.000000021
341,regulation of programmed cell death,-1.284,4.911,0.948,0.642,57,0.0037
309,regulation of localization,-8.367,5.235,0.947,0.262,57,1.3E-10
260,histone modification,-1.796,5.015,0.88,0.446,57,0.00098
254,glycoside biosynthetic process,-7.854,3.874,0.897,0.612,57,4.5E-10
236,regulation of cell death,-1.137,4.943,0.948,0.243,57,0.0054
389,heterocycle catabolic process,-5.495,5.444,0.833,0.691,58,0.00000013
310,tetrapyrrole metabolic process,-7.886,5.318,0.869,0.252,59,4.3E-10
292,lipid modification,-8.194,4.79,0.901,0.625,59,2.1E-10
212,regulation of flower development,-2.481,3.495,0.957,0.688,59,0.00018
285,glucosinolate metabolic process,-9.699,2.732,0.831,0.629,60,5.6E-12
284,glycosinolate metabolic process,-9.699,2.732,0.861,0.629,60,5.6E-12
255,S-glycoside metabolic process,-9.699,2.732,0.915,0.523,60,5.6E-12
159,aspartate family amino acid metabolic process,-5.886,5.328,0.792,0.696,61,0.00000005
76,regulation of immune system process,-1.509,4.88,0.951,0.239,61,0.0021
248,lipid catabolic process,-7,5.057,0.854,0.668,62,3.5E-09
86,acetyl-CoA metabolic process,-20.658,4.675,0.763,0.682,63,3.5E-23
79,starch metabolic process,-10.009,3.76,0.89,0.635,65,2.7E-12
268,protein myristoylation,-0.481,3.358,0.882,0.678,66,0.027
112,steroid biosynthetic process,-11.032,4.498,0.843,0.584,66,2.3E-13
104,N-terminal protein myristoylation,-0.481,3.358,0.881,0.276,66,0.027
296,N-terminal protein amino acid modification,-0.538,4.219,0.897,0.322,67,0.023
237,programmed cell death,-1.886,4.793,0.986,0.012,67,0.00083
193,response to high light intensity,-12.076,3.09,0.916,0.658,69,1.9E-14
403,root hair elongation,-15.658,2.683,0.91,0.5,70,4.4E-18
245,energy derivation by oxidation of organic compounds,-17.509,5.52,0.914,0.635,70,5.7E-20
148,steroid metabolic process,-10.854,4.745,0.875,0.619,70,3.6E-13
401,regulation of post-embryonic development,-2.602,3.823,0.955,0.189,72,0.00013
264,heterocycle biosynthetic process,-10.921,6.331,0.83,0.586,72,3.1E-13
186,response to wounding,-6.495,4.412,0.92,0.483,72,0.000000012
429,regulation of molecular function,-5.268,5.696,0.944,0.299,73,0.00000022
393,gametophyte development,-1.456,3.73,0.931,0.596,74,0.0023
150,cell death,-2.071,4.806,0.989,0.012,74,0.0005
162,aromatic amino acid family metabolic process,-13.076,5.266,0.786,0.545,75,1.8E-15
279,glyceraldehyde-3-phosphate metabolic process,-14.553,4.603,0.877,0.532,76,5.8E-17
439,regulation of response to stress,-1.721,4.929,0.942,0.242,77,0.0012
378,pigment biosynthetic process,-11.301,5.176,0.96,0.042,77,1.2E-13
288,cell cycle process,-1.187,5.31,0.986,0.014,78,0.0047
385,isopentenyl diphosphate metabolic process,-15.854,4.658,0.859,0.606,79,2.8E-18
326,fluid transport,-24.357,3.632,0.967,0.223,79,5.9E-27
253,glycoside metabolic process,-13.076,4.133,0.925,0.033,79,1.9E-15
177,toxin catabolic process,-17.854,2.954,0.833,0.647,79,2.4E-20
176,toxin metabolic process,-17.854,4.218,0.934,0.062,79,2.4E-20
127,water transport,-24.357,3.583,0.968,0.221,79,5.9E-27
320,response to endoplasmic reticulum stress,-8.469,4.557,0.906,0.497,80,1.1E-10
