Source,Target,Type,Weight
173,171,Directed,0.24
173,168,Directed,0.33
173,164,Directed,0.332
173,129,Directed,0.346
173,117,Directed,0.321
173,114,Directed,0.346
173,85,Directed,0.449
172,170,Directed,0.23
172,167,Directed,0.197
172,166,Directed,0.226
172,136,Directed,0.64
172,132,Directed,0.238
172,113,Directed,0.208
172,93,Directed,0.494
171,168,Directed,0.258
171,164,Directed,0.673
171,129,Directed,0.267
171,117,Directed,0.245
171,114,Directed,0.654
171,85,Directed,0.318
170,167,Directed,0.254
170,166,Directed,0.305
170,163,Directed,0.213
170,138,Directed,0.222
170,136,Directed,0.271
170,132,Directed,0.327
170,113,Directed,0.274
170,93,Directed,0.195
170,91,Directed,0.202
170,90,Directed,0.234
169,162,Directed,0.362
169,159,Directed,0.351
169,158,Directed,0.414
169,157,Directed,0.509
169,156,Directed,0.217
169,152,Directed,0.4
169,144,Directed,0.238
169,141,Directed,0.415
169,140,Directed,0.35
169,137,Directed,0.412
169,135,Directed,0.239
169,134,Directed,0.373
169,131,Directed,0.436
169,130,Directed,0.2
169,128,Directed,0.473
169,126,Directed,0.259
169,125,Directed,0.259
169,121,Directed,0.441
169,120,Directed,0.392
169,119,Directed,0.444
169,106,Directed,0.502
169,105,Directed,0.374
169,104,Directed,0.369
169,103,Directed,0.373
169,102,Directed,0.396
169,101,Directed,0.388
169,100,Directed,0.403
169,99,Directed,0.421
169,94,Directed,0.337
169,83,Directed,0.194
169,78,Directed,0.347
169,75,Directed,0.411
169,74,Directed,0.238
169,73,Directed,0.24
169,72,Directed,0.295
169,70,Directed,0.296
169,67,Directed,0.338
169,66,Directed,0.58
169,65,Directed,0.401
169,64,Directed,0.406
169,61,Directed,0.388
168,164,Directed,0.353
168,129,Directed,0.385
168,117,Directed,0.34
168,114,Directed,0.37
168,85,Directed,0.5
167,166,Directed,0.249
167,138,Directed,0.667
167,136,Directed,0.225
167,132,Directed,0.263
167,113,Directed,0.227
167,90,Directed,0.199
166,163,Directed,0.224
166,138,Directed,0.218
166,136,Directed,0.265
166,132,Directed,0.341
166,113,Directed,0.287
166,91,Directed,0.213
166,90,Directed,0.246
164,129,Directed,0.372
164,117,Directed,0.342
164,114,Directed,0.371
164,85,Directed,0.492
163,132,Directed,0.255
163,113,Directed,0.225
163,90,Directed,0.201
162,160,Directed,0.385
162,159,Directed,0.271
162,158,Directed,0.307
162,157,Directed,0.356
162,156,Directed,0.365
162,152,Directed,0.261
162,151,Directed,0.205
162,141,Directed,0.307
162,140,Directed,0.239
162,137,Directed,0.306
162,135,Directed,0.199
162,134,Directed,0.284
162,131,Directed,0.307
162,128,Directed,0.338
162,126,Directed,0.212
162,125,Directed,0.213
162,122,Directed,0.213
162,121,Directed,0.297
162,120,Directed,0.294
162,119,Directed,0.299
162,106,Directed,0.699
162,105,Directed,0.517
162,104,Directed,0.281
162,103,Directed,0.284
162,102,Directed,0.297
162,101,Directed,0.292
162,100,Directed,0.301
162,99,Directed,0.311
162,94,Directed,0.254
162,83,Directed,0.563
162,78,Directed,0.268
162,75,Directed,0.305
162,72,Directed,0.429
162,70,Directed,0.237
162,69,Directed,0.435
162,67,Directed,0.522
162,66,Directed,0.389
162,65,Directed,0.3
162,64,Directed,0.303
162,61,Directed,0.292
161,149,Directed,0.222
161,148,Directed,0.214
161,130,Directed,0.224
161,81,Directed,0.21
160,156,Directed,0.269
160,106,Directed,0.469
160,95,Directed,0.529
160,69,Directed,0.369
160,67,Directed,0.368
159,158,Directed,0.424
159,157,Directed,0.49
159,141,Directed,0.425
159,137,Directed,0.423
159,135,Directed,0.195
159,134,Directed,0.276
159,128,Directed,0.466
159,126,Directed,0.296
159,125,Directed,0.296
159,120,Directed,0.287
159,106,Directed,0.342
159,105,Directed,0.277
159,104,Directed,0.39
159,103,Directed,0.393
159,102,Directed,0.411
159,101,Directed,0.404
159,100,Directed,0.416
159,99,Directed,0.429
159,78,Directed,0.372
159,75,Directed,0.422
159,72,Directed,0.231
159,70,Directed,0.667
159,67,Directed,0.257
159,66,Directed,0.376
159,65,Directed,0.292
159,64,Directed,0.294
159,61,Directed,0.396
158,157,Directed,0.577
158,156,Directed,0.38
158,153,Directed,0.576
158,147,Directed,0.684
158,141,Directed,0.488
158,137,Directed,0.486
158,135,Directed,0.214
158,134,Directed,0.314
158,128,Directed,0.544
158,126,Directed,0.325
158,125,Directed,0.326
158,120,Directed,0.328
158,106,Directed,0.401
158,105,Directed,0.315
158,104,Directed,0.443
158,103,Directed,0.447
158,102,Directed,0.47
158,101,Directed,0.462
158,100,Directed,0.477
158,99,Directed,0.494
158,78,Directed,0.42
158,75,Directed,0.484
158,72,Directed,0.257
158,70,Directed,0.367
158,67,Directed,0.289
158,66,Directed,0.45
158,65,Directed,0.334
158,64,Directed,0.338
158,61,Directed,0.452
157,156,Directed,0.215
157,152,Directed,0.448
157,148,Directed,0.462
157,141,Directed,0.578
157,137,Directed,0.574
157,135,Directed,0.236
157,134,Directed,0.366
157,128,Directed,0.657
157,126,Directed,0.488
157,125,Directed,0.363
157,121,Directed,0.408
157,120,Directed,0.384
157,119,Directed,0.411
157,116,Directed,0.296
157,106,Directed,0.49
157,105,Directed,0.367
157,104,Directed,0.693
157,103,Directed,0.521
157,102,Directed,0.552
157,101,Directed,0.541
157,100,Directed,0.562
157,99,Directed,0.586
157,98,Directed,0.419
157,95,Directed,0.332
157,78,Directed,0.485
157,75,Directed,0.572
157,74,Directed,0.27
157,73,Directed,0.272
157,72,Directed,0.291
157,70,Directed,0.415
157,67,Directed,0.332
157,66,Directed,0.564
157,65,Directed,0.393
157,64,Directed,0.398
157,61,Directed,0.529
156,153,Directed,0.349
156,147,Directed,0.363
156,141,Directed,0.196
156,137,Directed,0.196
156,128,Directed,0.208
156,106,Directed,0.424
156,105,Directed,0.339
156,100,Directed,0.194
156,99,Directed,0.198
156,83,Directed,0.204
156,75,Directed,0.312
156,74,Directed,0.298
156,73,Directed,0.3
156,72,Directed,0.299
156,69,Directed,0.293
156,67,Directed,0.649
156,66,Directed,0.227
156,65,Directed,0.193
156,64,Directed,0.194
156,61,Directed,0.44
